,Open,High,Low,Close,Volume
2024-07-24 19:55:00,189.9,189.9,189.25,189.4,1221
2024-07-24 19:50:00,189.7,189.9,189.55,189.9,941
2024-07-24 19:45:00,189.9,189.9,189.61,189.71,736
2024-07-24 19:40:00,189.989,190.0,189.54,189.9,827
2024-07-24 19:35:00,189.6,189.99,189.6,189.95,885
2024-07-24 19:30:00,189.65,189.9,189.55,189.6,55
2024-07-24 19:25:00,189.54,189.88,189.54,189.78,230
2024-07-24 19:20:00,189.41,190.0,189.41,189.65,1517
2024-07-24 19:15:00,189.444,189.6,189.2,189.6,2110
2024-07-24 19:10:00,189.4,189.45,189.11,189.3,537
2024-07-24 19:05:00,189.406,189.45,189.406,189.45,121
2024-07-24 19:00:00,184.02,189.45,184.02,189.35,1365174
2024-07-24 18:55:00,189.0,189.367,189.0,189.3,360
2024-07-24 18:50:00,189.3,189.35,189.0,189.0,1510
2024-07-24 18:45:00,189.2,189.27,189.2,189.2,161
2024-07-24 18:40:00,189.383,189.45,189.35,189.35,95
2024-07-24 18:35:00,189.4,189.4,189.25,189.25,73
2024-07-24 18:30:00,184.02,189.5,184.02,189.2,1365381
2024-07-24 18:25:00,189.48,189.5,189.2,189.48,2611
2024-07-24 18:20:00,189.5,189.88,189.11,189.5,3015
2024-07-24 18:15:00,189.5,189.99,189.2,189.9,915
2024-07-24 18:10:00,189.5,190.0,189.18,189.5,2167
2024-07-24 18:05:00,188.89,189.5,188.89,189.18,947
2024-07-24 18:00:00,189.64,189.64,188.89,189.0,5108
2024-07-24 17:55:00,188.6,190.0,188.11,189.0,8674
2024-07-24 17:50:00,189.0,189.05,188.0,188.6,12972
2024-07-24 17:45:00,189.28,189.35,189.0,189.0,23524
2024-07-24 17:40:00,188.34,189.4,187.51,189.25,32098
2024-07-24 17:35:00,189.49,189.5,188.34,188.5,18234
2024-07-24 17:30:00,189.75,189.75,189.0,189.49,12472
2024-07-24 17:25:00,191.1,191.31,189.45,189.95,15367
2024-07-24 17:20:00,191.29,191.29,189.92,191.0,11083
2024-07-24 17:15:00,190.2,191.8,190.0,191.44,14246
2024-07-24 17:10:00,189.9,190.95,184.02,190.39,159183
2024-07-24 17:05:00,189.76,190.22,189.56,190.104,5140
2024-07-24 17:00:00,190.24,190.25,189.46,189.9,7744
2024-07-24 16:55:00,189.2,191.2,189.02,190.25,19616
2024-07-24 16:50:00,188.5,189.49,188.3,189.44,8616
2024-07-24 16:45:00,188.05,189.518,188.0,188.76,30650
2024-07-24 16:40:00,188.5,189.0,188.0,188.09,17153
2024-07-24 16:35:00,190.35,190.35,186.01,188.35,44195
2024-07-24 16:30:00,191.438,191.44,190.3,190.3,20124
2024-07-24 16:25:00,191.454,192.12,190.8,191.25,18004
2024-07-24 16:20:00,191.67,192.33,184.02,191.56,38146
2024-07-24 16:15:00,184.02,193.2,184.02,191.91,84870
2024-07-24 16:10:00,184.02,192.33,184.02,191.97,1503583
2024-07-24 16:05:00,183.54,194.56,181.49,191.75,155213
2024-07-24 16:00:00,184.59,184.97,181.34,182.41,2802460
2024-07-24 15:55:00,183.66,185.0,183.5,184.59,565533
2024-07-24 15:50:00,183.94,183.98,183.64,183.64,227338
2024-07-24 15:45:00,184.26,184.28,183.772,183.925,150466
2024-07-24 15:40:00,184.06,184.27,183.99,184.27,125823
2024-07-24 15:35:00,184.07,184.23,184.0,184.06,80012
2024-07-24 15:30:00,183.97,184.22,183.75,184.08,94471
2024-07-24 15:25:00,184.015,184.02,183.81,183.97,64939
2024-07-24 15:20:00,183.9,184.07,183.83,184.02,69579
2024-07-24 15:15:00,183.55,183.9,183.52,183.87,73804
2024-07-24 15:10:00,183.53,183.67,183.45,183.55,46322
2024-07-24 15:05:00,183.61,183.67,183.44,183.505,40552
2024-07-24 15:00:00,183.79,183.79,183.5,183.63,63892
2024-07-24 14:55:00,183.52,183.79,183.51,183.775,46610
2024-07-24 14:50:00,183.725,183.73,183.41,183.52,71531
2024-07-24 14:45:00,183.75,183.86,183.7,183.725,47469
2024-07-24 14:40:00,183.72,183.95,183.7,183.82,48048
2024-07-24 14:35:00,183.83,183.83,183.65,183.738,60830
2024-07-24 14:30:00,183.55,183.81,183.5,183.8,56608
2024-07-24 14:25:00,183.502,183.61,183.435,183.53,25570
2024-07-24 14:20:00,183.53,183.54,183.377,183.48,29343
2024-07-24 14:15:00,183.56,183.75,183.52,183.532,22367
2024-07-24 14:10:00,183.615,183.79,183.53,183.53,33530
2024-07-24 14:05:00,183.38,183.69,183.36,183.621,20405
2024-07-24 14:00:00,183.38,183.47,183.181,183.43,20931
2024-07-24 13:55:00,183.37,183.58,183.365,183.368,30544
2024-07-24 13:50:00,183.335,183.445,183.169,183.37,120032
2024-07-24 13:45:00,183.86,183.86,183.31,183.32,40493
